price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257
538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319
180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233
604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393
510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045
1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005
257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327
291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315
229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337
323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031
662500,3,2.5,3560,9796,2,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145
468000,2,1,1160,6000,1,0,0,4,7,1160,0,1942,0,98199,47.6386,-122.376
310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98002,47.3048,-122.218
400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98055,47.4445,-122.216
530000,5,2,1810,7503,1.5,0,0,3,8,1810,0,1900,0,98115,47.6889,-122.292
650000,4,3,2950,6000,2,0,0,4,9,2950,0,1979,0,98136,47.5435,-122.362
395000,3,2,1890,7200,1.5,0,0,4,7,1890,0,1984,0,98058,47.4444,-122.160
485000,4,2.5,2210,7620,2,0,0,3,8,2210,0,1999,0,98059,47.4832,-122.153
189000,3,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.210
230000,4,1,1250,9774,1,0,0,4,7,1250,0,1966,0,98001,47.3258,-122.219
385000,4,2.5,2200,8075,2,0,0,4,8,2200,0,1968,0,98055,47.4493,-122.200
500000,3,2.5,1930,11227,1.5,0,0,4,8,1930,0,1972,0,98144,47.5816,-122.299
485000,4,1.75,1940,10500,1,0,0,3,7,1940,0,1976,0,98028,47.7558,-122.229
189950,3,1,1170,7683,1,0,0,3,7,1170,0,1960,0,98002,47.3223,-122.219
649000,4,3,2680,7265,2,0,0,3,9,2680,0,1983,0,98056,47.5134,-122.153
675000,4,2.5,2200,9500,1,0,0,3,8,1700,500,1941,0,98117,47.6825,-122.368
415000,3,2.5,1820,9620,1.5,0,0,3,8,1820,0,1978,0,98058,47.4473,-122.159
570000,4,2.5,2300,7200,2,0,0,3,8,2300,0,1941,0,98103,47.6696,-122.346
605000,4,2.5,1950,8100,1,0,0,4,7,1040,910,1958,0,98146,47.5107,-122.362
500000,3,2.5,1600,7503,1,0,0,3,7,1600,0,1997,0,98038,47.3803,-122.032
485000,4,2.25,1930,6615,2,0,0,3,8,1930,0,1977,0,98059,47.4905,-122.148
675000,4,2.75,2340,15681,2,0,2,4,8,2340,0,1999,0,98059,47.4813,-122.164
420000,4,2.5,1750,8112,1.5,0,0,3,7,1750,0,1983,0,98055,47.4663,-122.210
550000,3,1.75,1590,7200,1.5,0,0,3,7,1590,0,1913,0,98102,47.6267,-122.323
300000,3,1.75,1250,6000,1,0,0,3,7,1250,0,1960,0,98001,47.3290,-122.219
509000,4,2.5,1860,7020,2,0,0,3,8,1860,0,1965,0,98055,47.4392,-122.182
645000,4,3,2550,9603,2,0,0,3,9,2550,0,1981,0,98059,47.4948,-122.147
265000,3,1.5,1200,8370,1,0,0,3,7,1200,0,1955,0,98002,47.3048,-122.218
329000,3,1.75,1330,9700,1,0,0,3,7,1330,0,1977,0,98038,47.3803,-122.032
949000,5,3.25,3440,10800,2,0,4,5,10,3440,0,2005,0,98075,47.5827,-121.979
325000,3,2,1620,6000,1.5,0,0,3,7,1620,0,1947,0,98115,47.6889,-122.292
255000,3,1,1040,10386,1,0,0,3,7,1040,0,1963,0,98002,47.3097,-122.210
1715000,4,3.75,4050,10500,2,0,0,3,11,4050,0,1996,0,98040,47.5631,-122.216
645000,4,2.5,2160,8400,2,0,0,3,8,2160,0,1976,0,98055,47.4392,-122.170
415000,3,2,1370,7200,1,0,0,3,7,1370,0,1977,0,98058,47.4639,-122.159
485000,4,1.75,1930,8800,1,0,0,3,7,1930,0,1976,0,98028,47.7542,-122.229
575000,4,2.5,1940,10010,1,0,0,3,8,1940,0,1926,0,98117,47.6825,-122.368
